"","subject","vocoded","timebins","aggbaseline","Condition"
"500","Eye_23","NS",1200,62.9381730842432,"NS"
"501","Eye_23","NS",1300,50.3513904242905,"NS"
"502","Eye_23","NS",1400,37.7987463306158,"NS"
"503","Eye_23","NS",1500,19.4316980830257,"NS"
"504","Eye_23","NS",1600,-5.58366380705209,"NS"
"505","Eye_23","NS",1700,-32.8426044470776,"NS"
"506","Eye_23","NS",1800,-55.0855571529177,"NS"
"507","Eye_23","NS",1900,-66.0446839280157,"NS"
"508","Eye_23","NS",2000,-67.6606509682369,"NS"
"509","Eye_23","NS",2100,-63.6619390186118,"NS"
"510","Eye_23","NS",2200,-51.9529928489024,"NS"
"511","Eye_23","NS",2300,-39.8686102631662,"NS"
"512","Eye_23","NS",2400,-24.3504523051868,"NS"
"513","Eye_23","NS",2500,-15.2380947947243,"NS"
"514","Eye_23","V6",-100,1.64993688549842,"V6"
"515","Eye_23","V6",0,9.60033837646048,"V6"
"516","Eye_23","V6",100,15.3220585323489,"V6"
"517","Eye_23","V6",200,20.8221100719897,"V6"
"518","Eye_23","V6",300,35.1241591444921,"V6"
"519","Eye_23","V6",400,48.8758844297177,"V6"
"520","Eye_23","V6",500,65.4586045300719,"V6"
"521","Eye_23","V6",600,85.613366107309,"V6"
"522","Eye_23","V6",700,107.209851837916,"V6"
"523","Eye_23","V6",800,123.260011419113,"V6"
"524","Eye_23","V6",900,125.625885659263,"V6"
"525","Eye_23","V6",1000,119.672213616406,"V6"
"526","Eye_23","V6",1100,112.07352496077,"V6"
"527","Eye_23","V6",1200,98.0957257949233,"V6"
"528","Eye_23","V6",1300,86.813022923118,"V6"
"529","Eye_23","V6",1400,82.8679992103578,"V6"
"530","Eye_23","V6",1500,82.7446298870911,"V6"
"531","Eye_23","V6",1600,68.7425835639903,"V6"
"532","Eye_23","V6",1700,43.2412317025513,"V6"
"533","Eye_23","V6",1800,18.4868241164862,"V6"
"534","Eye_23","V6",1900,4.31610776636507,"V6"
"535","Eye_23","V6",2000,-0.407080384329824,"V6"
"536","Eye_23","V6",2100,-0.0132593986052608,"V6"
"537","Eye_23","V6",2200,1.86452263209056,"V6"
"538","Eye_23","V6",2300,3.23370406275009,"V6"
"539","Eye_23","V6",2400,8.05140741678646,"V6"
"540","Eye_23","V6",2500,12.6204527073546,"V6"
"541","Eye_25","NS",-100,1.54429960858219,"NS"
"542","Eye_25","NS",0,8.2660423041518,"NS"
"543","Eye_25","NS",100,15.8321385638554,"NS"
"544","Eye_25","NS",200,22.12933531334,"NS"
"545","Eye_25","NS",300,28.5449494154061,"NS"
"546","Eye_25","NS",400,33.897706930507,"NS"
"547","Eye_25","NS",500,39.121258423444,"NS"
"548","Eye_25","NS",600,47.2948089710565,"NS"
"549","Eye_25","NS",700,54.3043693296794,"NS"
"550","Eye_25","NS",800,60.6323510908646,"NS"
"551","Eye_25","NS",900,66.8763375374589,"NS"
"552","Eye_25","NS",1000,71.1600079642038,"NS"
"553","Eye_25","NS",1100,68.5883195537341,"NS"
"554","Eye_25","NS",1200,61.4944992284703,"NS"
"555","Eye_25","NS",1300,53.3569373458999,"NS"
"556","Eye_25","NS",1400,44.2966880067749,"NS"
"557","Eye_25","NS",1500,34.1042713441887,"NS"
"558","Eye_25","NS",1600,24.6391401515441,"NS"
"559","Eye_25","NS",1700,16.5785334487677,"NS"
"560","Eye_25","NS",1800,10.8398300207734,"NS"
"561","Eye_25","NS",1900,4.26679514233398,"NS"
"562","Eye_25","NS",2000,-0.177523507392052,"NS"
"563","Eye_25","NS",2100,-6.13438861180009,"NS"
"564","Eye_25","NS",2200,-13.4817961156448,"NS"
"565","Eye_25","NS",2300,-20.8885962349962,"NS"
"566","Eye_25","NS",2400,-24.3611432852893,"NS"
"567","Eye_25","NS",2500,-25.8365348027455,"NS"
"568","Eye_25","V6",-100,0.106282136721913,"V6"
"569","Eye_25","V6",0,2.18598620705682,"V6"
"570","Eye_25","V6",100,4.52556569468129,"V6"
"571","Eye_25","V6",200,7.560398391688,"V6"
"572","Eye_25","V6",300,12.4687809551812,"V6"
"573","Eye_25","V6",400,20.6948857317951,"V6"
"574","Eye_25","V6",500,33.5823197242968,"V6"
"575","Eye_25","V6",600,51.770915328138,"V6"
"576","Eye_25","V6",700,66.9232157720897,"V6"
"577","Eye_25","V6",800,77.0675633293816,"V6"
"578","Eye_25","V6",900,81.0011633307101,"V6"
"579","Eye_25","V6",1000,78.050972553643,"V6"
"580","Eye_25","V6",1100,75.2428684843845,"V6"
"581","Eye_25","V6",1200,69.675816478897,"V6"
"582","Eye_25","V6",1300,66.1586647682199,"V6"
"583","Eye_25","V6",1400,61.4909446796884,"V6"
"584","Eye_25","V6",1500,52.938441714081,"V6"
"585","Eye_25","V6",1600,43.6698224840956,"V6"
"586","Eye_25","V6",1700,39.6367077203693,"V6"
"587","Eye_25","V6",1800,31.9338514395413,"V6"
"588","Eye_25","V6",1900,20.4626029346321,"V6"
"589","Eye_25","V6",2000,7.2440061254326,"V6"
"590","Eye_25","V6",2100,-3.76626781471871,"V6"
"591","Eye_25","V6",2200,-14.9878567162368,"V6"
"592","Eye_25","V6",2300,-25.7576322084639,"V6"
"593","Eye_25","V6",2400,-34.5597578533258,"V6"
"594","Eye_25","V6",2500,-39.5125137199081,"V6"
"595","Eye_26","NS",-100,-4.09631681329402,"NS"
"596","Eye_26","NS",0,-14.8214477362593,"NS"
"597","Eye_26","NS",100,-24.4500210561524,"NS"
"598","Eye_26","NS",200,-31.3095061963475,"NS"
"599","Eye_26","NS",300,-30.2307328900505,"NS"
"600","Eye_26","NS",400,-29.8818887985006,"NS"
"601","Eye_26","NS",500,-25.471198090556,"NS"
"602","Eye_26","NS",600,-28.4083156860793,"NS"
"603","Eye_26","NS",700,-33.4147379936292,"NS"
"604","Eye_26","NS",800,-36.5204783365929,"NS"
"605","Eye_26","NS",900,-37.0352865624276,"NS"
"606","Eye_26","NS",1000,-41.0566807844623,"NS"
"607","Eye_26","NS",1100,-41.6494895898075,"NS"
"608","Eye_26","NS",1200,-41.4645083114696,"NS"
"609","Eye_26","NS",1300,-37.8765428720869,"NS"
"610","Eye_26","NS",1400,-32.271422911022,"NS"
"611","Eye_26","NS",1500,-32.4909231873294,"NS"
"612","Eye_26","NS",1600,-39.6192638098889,"NS"
"613","Eye_26","NS",1700,-36.0879644719178,"NS"
"614","Eye_26","NS",1800,-40.1717901857622,"NS"
"615","Eye_26","NS",1900,-52.2113864707196,"NS"
"616","Eye_26","NS",2000,-53.7092284208261,"NS"
"617","Eye_26","NS",2100,-53.2518702747638,"NS"
"618","Eye_26","NS",2200,-52.763085534695,"NS"
"619","Eye_26","NS",2300,-55.9483947903229,"NS"
"620","Eye_26","NS",2400,-53.9852754857439,"NS"
"621","Eye_26","NS",2500,-52.0798438843094,"NS"
"622","Eye_26","V6",-100,-0.686774998854575,"V6"
"623","Eye_26","V6",0,-4.66359280934829,"V6"
"624","Eye_26","V6",100,-9.6446422467283,"V6"
"625","Eye_26","V6",200,-20.6166695297747,"V6"
"626","Eye_26","V6",300,-32.4286539244673,"V6"
"627","Eye_26","V6",400,-37.760803212767,"V6"
"628","Eye_26","V6",500,-32.4108485036225,"V6"
"629","Eye_26","V6",600,-25.8478089760771,"V6"
"630","Eye_26","V6",700,-23.2948769334722,"V6"
"631","Eye_26","V6",800,-23.6607443769794,"V6"
"632","Eye_26","V6",900,-32.2780542967561,"V6"
"633","Eye_26","V6",1000,-39.0532153309792,"V6"
"634","Eye_26","V6",1100,-41.8646423519042,"V6"
"635","Eye_26","V6",1200,-40.0104537455962,"V6"
"636","Eye_26","V6",1300,-43.232576634045,"V6"
"637","Eye_26","V6",1400,-47.898593411536,"V6"
"638","Eye_26","V6",1500,-52.3923941855171,"V6"
"639","Eye_26","V6",1600,-54.6794482476,"V6"
"640","Eye_26","V6",1700,-56.845844339519,"V6"
"641","Eye_26","V6",1800,-53.8188102600891,"V6"
"642","Eye_26","V6",1900,-57.0326246911133,"V6"
"643","Eye_26","V6",2000,-60.7607802621124,"V6"
"644","Eye_26","V6",2100,-62.5971962300625,"V6"
"645","Eye_26","V6",2200,-66.4703825589846,"V6"
"646","Eye_26","V6",2300,-66.546606808007,"V6"
"647","Eye_26","V6",2400,-67.1714739660622,"V6"
"648","Eye_26","V6",2500,-65.908421383821,"V6"
"649","Eye_27","NS",-100,2.35963947211642,"NS"
"650","Eye_27","NS",0,5.9328882608992,"NS"
"651","Eye_27","NS",100,7.90144943811152,"NS"
"652","Eye_27","NS",200,9.06481835297565,"NS"
"653","Eye_27","NS",300,10.4518615193689,"NS"
"654","Eye_27","NS",400,11.777734877344,"NS"
"655","Eye_27","NS",500,20.138395472803,"NS"
"656","Eye_27","NS",600,21.3288313502375,"NS"
