"","subject","vocoded","timebins","aggbaseline","Condition"
"254","EYE_16","V6",900,-21.8381662910032,"V6"
"255","EYE_16","V6",1000,-47.3304831754749,"V6"
"256","EYE_16","V6",1100,-75.3709608029026,"V6"
"257","EYE_16","V6",1200,-105.663477024797,"V6"
"258","EYE_16","V6",1300,-132.528371932098,"V6"
"259","EYE_16","V6",1400,-157.097808577683,"V6"
"260","EYE_16","V6",1500,-175.825861353424,"V6"
"261","EYE_16","V6",1600,-182.592872432323,"V6"
"262","EYE_16","V6",1700,-174.630888175716,"V6"
"263","EYE_16","V6",1800,-165.513695309635,"V6"
"264","EYE_16","V6",1900,-156.84585498605,"V6"
"265","EYE_16","V6",2000,-146.203818558977,"V6"
"266","EYE_16","V6",2100,-130.657710712159,"V6"
"267","EYE_16","V6",2200,-113.999265105105,"V6"
"268","EYE_16","V6",2300,-99.355314629265,"V6"
"269","EYE_16","V6",2400,-82.6905143566802,"V6"
"270","EYE_16","V6",2500,-68.0561680905142,"V6"
"271","Eye_17","NS",-100,-1.08223640724736,"NS"
"272","Eye_17","NS",0,8.97699506908498,"NS"
"273","Eye_17","NS",100,12.290787480146,"NS"
"274","Eye_17","NS",200,6.2222265969389,"NS"
"275","Eye_17","NS",300,15.6760761354011,"NS"
"276","Eye_17","NS",400,17.4855688828677,"NS"
"277","Eye_17","NS",500,26.0874297868546,"NS"
"278","Eye_17","NS",600,53.9952653853865,"NS"
"279","Eye_17","NS",700,63.6331537843808,"NS"
"280","Eye_17","NS",800,62.5375626170959,"NS"
"281","Eye_17","NS",900,55.9097391635651,"NS"
"282","Eye_17","NS",1000,42.1946310680269,"NS"
"283","Eye_17","NS",1100,31.8157869298172,"NS"
"284","Eye_17","NS",1200,27.0631754076487,"NS"
"285","Eye_17","NS",1300,23.3044250727208,"NS"
"286","Eye_17","NS",1400,23.3167371284791,"NS"
"287","Eye_17","NS",1500,25.3942399539302,"NS"
"288","Eye_17","NS",1600,27.4484281829181,"NS"
"289","Eye_17","NS",1700,29.6716518716184,"NS"
"290","Eye_17","NS",1800,35.9104417868093,"NS"
"291","Eye_17","NS",1900,39.6209973074672,"NS"
"292","Eye_17","NS",2000,44.0998237217538,"NS"
"293","Eye_17","NS",2100,46.1134391679323,"NS"
"294","Eye_17","NS",2200,47.8717191465904,"NS"
