"","subject","script","timebins","aggbaseline"
"119","12d.edf","cursive",1400,78.3258883489581
"120","12d.edf","cursive",1500,103.468290393513
"121","12d.edf","cursive",1600,121.157947973378
"122","12d.edf","cursive",1700,133.214843075107
"123","12d.edf","cursive",1800,149.962627915887
"124","12d.edf","cursive",1900,167.113683923586
"125","12d.edf","cursive",2000,164.125314304953
"126","12d.edf","cursive",2100,139.739457584041
"127","12d.edf","cursive",2200,116.915550067566
"128","12d.edf","cursive",2300,113.802158700883
"129","12d.edf","cursive",2400,118.031044288445
"130","12d.edf","cursive",2500,118.81213556467
"131","12d.edf","print",0,63.0085734746422
"132","12d.edf","print",100,74.544386844908
"133","12d.edf","print",200,89.4217011264003
"134","12d.edf","print",300,70.5774659132027
"135","12d.edf","print",400,43.6137231973203
"136","12d.edf","print",500,11.1469212908824
"137","12d.edf","print",600,-20.9918855687555
"138","12d.edf","print",700,-44.0097457137506
"139","12d.edf","print",800,-42.6325486881217
"140","12d.edf","print",900,-20.0940825077589
"141","12d.edf","print",1000,1.9937650402813
"142","12d.edf","print",1100,28.8024101266212
"143","12d.edf","print",1200,58.5073428486872
"144","12d.edf","print",1300,90.0376311900958
"145","12d.edf","print",1400,127.606917911742
"146","12d.edf","print",1500,162.655653601187
"147","12d.edf","print",1600,196.073431204501
"148","12d.edf","print",1700,222.698331389276
"149","12d.edf","print",1800,243.898913260839
"150","12d.edf","print",1900,212.830332372956
"151","12d.edf","print",2000,136.200019944093
"152","12d.edf","print",2100,65.0240085237338
"153","12d.edf","print",2200,9.54458577596353
"154","12d.edf","print",2300,-26.977424614135
"155","12d.edf","print",2400,-50.150996461949
"156","12d.edf","print",2500,-60.9936735994955
"157","13a.edf","cursive",0,-48.0788389822428
"158","13a.edf","cursive",100,-43.5371204556911
"159","13a.edf","cursive",200,-35.8762330594228
"160","13a.edf","cursive",300,-31.0112704373402
"161","13a.edf","cursive",400,-27.6270592437227
"162","13a.edf","cursive",500,-9.17141212201113
"163","13a.edf","cursive",600,11.6842677030177
"164","13a.edf","cursive",700,27.5269497806577
"165","13a.edf","cursive",800,30.343157104358
"166","13a.edf","cursive",900,27.0446537197852
"167","13a.edf","cursive",1000,27.6971287833926
"168","13a.edf","cursive",1100,24.4621281573491
"169","13a.edf","cursive",1200,24.5920230448512
"170","13a.edf","cursive",1300,25.6557577711337
"171","13a.edf","cursive",1400,32.5804455903109
"172","13a.edf","cursive",1500,53.3515940233493
"173","13a.edf","cursive",1600,52.7586732605566
"174","13a.edf","cursive",1700,47.9558547245523
"175","13a.edf","cursive",1800,23.7439750457457
"176","13a.edf","cursive",1900,1.41744072843196
"177","13a.edf","cursive",2000,-17.3082811927637
"178","13a.edf","cursive",2100,-31.2755906759623
"179","13a.edf","cursive",2200,-31.0063723811557
"180","13a.edf","cursive",2300,-14.6833399819377
"181","13a.edf","cursive",2400,-40.159041749046
"182","13a.edf","cursive",2500,-49.2394077235041
"183","13a.edf","print",0,-57.9614205909351
"184","13a.edf","print",100,-50.8662743460347
"185","13a.edf","print",200,-43.7887849016233
"186","13a.edf","print",300,-31.7808528800337
"187","13a.edf","print",400,-19.8412753907674
"188","13a.edf","print",500,-3.08362794880878
"189","13a.edf","print",600,10.0480438143543
"190","13a.edf","print",700,22.5268512173297
"191","13a.edf","print",800,31.9026840315693
"192","13a.edf","print",900,30.8566637931721
"193","13a.edf","print",1000,25.164301736758
"194","13a.edf","print",1100,22.7222660413752
"195","13a.edf","print",1200,20.1891615665289
"196","13a.edf","print",1300,30.3539689651085
"197","13a.edf","print",1400,49.7952679931232
"198","13a.edf","print",1500,51.8519223376867
"199","13a.edf","print",1600,36.7250841691006
"200","13a.edf","print",1700,10.6709355369593
"201","13a.edf","print",1800,-28.2369787364874
"202","13a.edf","print",1900,-56.0316791647677
"203","13a.edf","print",2000,-76.9733239072306
"204","13a.edf","print",2100,-91.1944145854282
"205","13a.edf","print",2200,-93.9793388222966
